,Description,description,tokens,cleaned_tokens
218,"An attacker examines a target system to find sensitive data that has been embedded within it. This information can reveal confidential contents, such as account numbers or individual keys/credentials that can be used as an intermediate step in a larger attack.",an attacker examines a target system to find sensitive data that has been embedded within it this information can reveal confidential contents  such as account numbers or individual keys credentials that can be used as an intermediate step in a larger attack ,"['an', 'attacker', 'examines', 'a', 'target', 'system', 'to', 'find', 'sensitive', 'data', 'that', 'has', 'been', 'embedded', 'within', 'it', 'this', 'information', 'can', 'reveal', 'confidential', 'contents', 'such', 'as', 'account', 'numbers', 'or', 'individual', 'keys', 'credentials', 'that', 'can', 'be', 'used', 'as', 'an', 'intermediate', 'step', 'in', 'a', 'larger', 'attack']","['attacker', 'examines', 'target', 'system', 'find', 'sensitive', 'data', 'embedded', 'within', 'information', 'reveal', 'confidential', 'contents', 'account', 'numbers', 'individual', 'keys', 'credentials', 'used', 'intermediate', 'step', 'larger', 'attack']"
219,"This pattern of attack sees an adversary load a malicious resource into a program's standard path so that when a known command is executed then the system instead executes the malicious component. The adversary can either modify the search path a program uses, like a PATH variable or classpath, or they can manipulate resources on the path to point to their malicious components. J2EE applications and other component based applications that are built from multiple binaries can have very long list of dependencies to execute. If one of these libraries and/or references is controllable by the attacker then application controls can be circumvented by the attacker.",this pattern of attack sees an adversary load a malicious resource into a program s standard path so that when a known command is executed then the system instead executes the malicious component the adversary can either modify the search path a program uses  like a path variable or classpath  or they can manipulate resources on the path to point to their malicious components j2ee applications and other component based applications that are built from multiple binaries can have very long list of dependencies to execute if one of these libraries and or references is controllable by the attacker then application controls can be circumvented by the attacker ,"['this', 'pattern', 'of', 'attack', 'sees', 'an', 'adversary', 'load', 'a', 'malicious', 'resource', 'into', 'a', 'program', 's', 'standard', 'path', 'so', 'that', 'when', 'a', 'known', 'command', 'is', 'executed', 'then', 'the', 'system', 'instead', 'executes', 'the', 'malicious', 'component', 'the', 'adversary', 'can', 'either', 'modify', 'the', 'search', 'path', 'a', 'program', 'uses', 'like', 'a', 'path', 'variable', 'or', 'classpath', 'or', 'they', 'can', 'manipulate', 'resources', 'on', 'the', 'path', 'to', 'point', 'to', 'their', 'malicious', 'components', 'j2ee', 'applications', 'and', 'other', 'component', 'based', 'applications', 'that', 'are', 'built', 'from', 'multiple', 'binaries', 'can', 'have', 'very', 'long', 'list', 'of', 'dependencies', 'to', 'execute', 'if', 'one', 'of', 'these', 'libraries', 'and', 'or', 'references', 'is', 'controllable', 'by', 'the', 'attacker', 'then', 'application', 'controls', 'can', 'be', 'circumvented', 'by', 'the', 'attacker']","['pattern', 'attack', 'sees', 'adversary', 'load', 'malicious', 'resource', 'program', 'standard', 'path', 'known', 'command', 'executed', 'system', 'instead', 'executes', 'malicious', 'component', 'adversary', 'either', 'modify', 'search', 'path', 'program', 'uses', 'like', 'path', 'variable', 'classpath', 'manipulate', 'resources', 'path', 'point', 'malicious', 'components', 'j2ee', 'applications', 'component', 'based', 'applications', 'built', 'multiple', 'binaries', 'long', 'list', 'dependencies', 'execute', 'one', 'libraries', 'references', 'controllable', 'attacker', 'application', 'controls', 'circumvented', 'attacker']"
220,"An adversary hosts an event within an application framework and then monitors the data exchanged during the course of the event for the purpose of harvesting any important data leaked during the transactions. One example could be harvesting lists of usernames or userIDs for the purpose of sending spam messages to those users. One example of this type of attack involves the adversary creating an event within the sub-application. Assume the adversary hosts a virtual sale of rare items. As other users enter the event, the attacker records via AiTM (CAPEC-94) proxy the user_ids and usernames of everyone who attends. The adversary would then be able to spam those users within the application using an automated script.",an adversary hosts an event within an application framework and then monitors the data exchanged during the course of the event for the purpose of harvesting any important data leaked during the transactions one example could be harvesting lists of usernames or userids for the purpose of sending spam messages to those users one example of this type of attack involves the adversary creating an event within the sub application assume the adversary hosts a virtual sale of rare items as other users enter the event  the attacker records via aitm  capec 94  proxy the user ids and usernames of everyone who attends the adversary would then be able to spam those users within the application using an automated script ,"['an', 'adversary', 'hosts', 'an', 'event', 'within', 'an', 'application', 'framework', 'and', 'then', 'monitors', 'the', 'data', 'exchanged', 'during', 'the', 'course', 'of', 'the', 'event', 'for', 'the', 'purpose', 'of', 'harvesting', 'any', 'important', 'data', 'leaked', 'during', 'the', 'transactions', 'one', 'example', 'could', 'be', 'harvesting', 'lists', 'of', 'usernames', 'or', 'userids', 'for', 'the', 'purpose', 'of', 'sending', 'spam', 'messages', 'to', 'those', 'users', 'one', 'example', 'of', 'this', 'type', 'of', 'attack', 'involves', 'the', 'adversary', 'creating', 'an', 'event', 'within', 'the', 'sub', 'application', 'assume', 'the', 'adversary', 'hosts', 'a', 'virtual', 'sale', 'of', 'rare', 'items', 'as', 'other', 'users', 'enter', 'the', 'event', 'the', 'attacker', 'records', 'via', 'aitm', 'capec', '94', 'proxy', 'the', 'user', 'ids', 'and', 'usernames', 'of', 'everyone', 'who', 'attends', 'the', 'adversary', 'would', 'then', 'be', 'able', 'to', 'spam', 'those', 'users', 'within', 'the', 'application', 'using', 'an', 'automated', 'script']","['adversary', 'hosts', 'event', 'within', 'application', 'framework', 'monitors', 'data', 'exchanged', 'course', 'event', 'purpose', 'harvesting', 'important', 'data', 'leaked', 'transactions', 'one', 'example', 'could', 'harvesting', 'lists', 'usernames', 'userids', 'purpose', 'sending', 'spam', 'messages', 'users', 'one', 'example', 'type', 'attack', 'involves', 'adversary', 'creating', 'event', 'within', 'sub', 'application', 'assume', 'adversary', 'hosts', 'virtual', 'sale', 'rare', 'items', 'users', 'enter', 'event', 'attacker', 'records', 'via', 'aitm', 'capec', '94', 'proxy', 'user', 'ids', 'usernames', 'everyone', 'attends', 'adversary', 'would', 'able', 'spam', 'users', 'within', 'application', 'using', 'automated', 'script']"
221,"An attacker manipulates either egress or ingress data from a client within an application framework in order to change the content of messages. Performing this attack can allow the attacker to gain unauthorized privileges within the application, or conduct attacks such as phishing, deceptive strategies to spread malware, or traditional web-application attacks. The techniques require use of specialized software that allow the attacker to perform adversary-in-the-middle (CAPEC-94) communications between the web browser and the remote system. Despite the use of AiTH software, the attack is actually directed at the server, as the client is one node in a series of content brokers that pass information along to the application framework. Additionally, it is not true Adversary-in-the-Middle attack at the network layer, but an application-layer attack the root cause of which is the master applications trust in the integrity of code supplied by the client.",an attacker manipulates either egress or ingress data from a client within an application framework in order to change the content of messages performing this attack can allow the attacker to gain unauthorized privileges within the application  or conduct attacks such as phishing  deceptive strategies to spread malware  or traditional web application attacks the techniques require use of specialized software that allow the attacker to perform adversary in the middle  capec 94  communications between the web browser and the remote system despite the use of aith software  the attack is actually directed at the server  as the client is one node in a series of content brokers that pass information along to the application framework additionally  it is not true adversary in the middle attack at the network layer  but an application layer attack the root cause of which is the master applications trust in the integrity of code supplied by the client ,"['an', 'attacker', 'manipulates', 'either', 'egress', 'or', 'ingress', 'data', 'from', 'a', 'client', 'within', 'an', 'application', 'framework', 'in', 'order', 'to', 'change', 'the', 'content', 'of', 'messages', 'performing', 'this', 'attack', 'can', 'allow', 'the', 'attacker', 'to', 'gain', 'unauthorized', 'privileges', 'within', 'the', 'application', 'or', 'conduct', 'attacks', 'such', 'as', 'phishing', 'deceptive', 'strategies', 'to', 'spread', 'malware', 'or', 'traditional', 'web', 'application', 'attacks', 'the', 'techniques', 'require', 'use', 'of', 'specialized', 'software', 'that', 'allow', 'the', 'attacker', 'to', 'perform', 'adversary', 'in', 'the', 'middle', 'capec', '94', 'communications', 'between', 'the', 'web', 'browser', 'and', 'the', 'remote', 'system', 'despite', 'the', 'use', 'of', 'aith', 'software', 'the', 'attack', 'is', 'actually', 'directed', 'at', 'the', 'server', 'as', 'the', 'client', 'is', 'one', 'node', 'in', 'a', 'series', 'of', 'content', 'brokers', 'that', 'pass', 'information', 'along', 'to', 'the', 'application', 'framework', 'additionally', 'it', 'is', 'not', 'true', 'adversary', 'in', 'the', 'middle', 'attack', 'at', 'the', 'network', 'layer', 'but', 'an', 'application', 'layer', 'attack', 'the', 'root', 'cause', 'of', 'which', 'is', 'the', 'master', 'applications', 'trust', 'in', 'the', 'integrity', 'of', 'code', 'supplied', 'by', 'the', 'client']","['attacker', 'manipulates', 'either', 'egress', 'ingress', 'data', 'client', 'within', 'application', 'framework', 'order', 'change', 'content', 'messages', 'performing', 'attack', 'allow', 'attacker', 'gain', 'unauthorized', 'privileges', 'within', 'application', 'conduct', 'attacks', 'phishing', 'deceptive', 'strategies', 'spread', 'malware', 'traditional', 'web', 'application', 'attacks', 'techniques', 'require', 'use', 'specialized', 'software', 'allow', 'attacker', 'perform', 'adversary', 'middle', 'capec', '94', 'communications', 'web', 'browser', 'remote', 'system', 'despite', 'use', 'aith', 'software', 'attack', 'actually', 'directed', 'server', 'client', 'one', 'node', 'series', 'content', 'brokers', 'pass', 'information', 'along', 'application', 'framework', 'additionally', 'true', 'adversary', 'middle', 'attack', 'network', 'layer', 'application', 'layer', 'attack', 'root', 'cause', 'master', 'applications', 'trust', 'integrity', 'code', 'supplied', 'client']"
222,"An attacker hosts or joins an event or transaction within an application framework in order to change the content of messages or items that are being exchanged. Performing this attack allows the attacker to manipulate content in such a way as to produce messages or content that look authentic but may contain deceptive links, substitute one item or another, spoof an existing item and conduct a false exchange, or otherwise change the amounts or identity of what is being exchanged. The techniques require use of specialized software that allow the attacker to man-in-the-middle communications between the web browser and the remote system in order to change the content of various application elements. Often, items exchanged in game can be monetized via sales for coin, virtual dollars, etc. The purpose of the attack is for the attack to scam the victim by trapping the data packets involved the exchange and altering the integrity of the transfer process.",an attacker hosts or joins an event or transaction within an application framework in order to change the content of messages or items that are being exchanged performing this attack allows the attacker to manipulate content in such a way as to produce messages or content that look authentic but may contain deceptive links  substitute one item or another  spoof an existing item and conduct a false exchange  or otherwise change the amounts or identity of what is being exchanged the techniques require use of specialized software that allow the attacker to man in the middle communications between the web browser and the remote system in order to change the content of various application elements often  items exchanged in game can be monetized via sales for coin  virtual dollars  etc the purpose of the attack is for the attack to scam the victim by trapping the data packets involved the exchange and altering the integrity of the transfer process ,"['an', 'attacker', 'hosts', 'or', 'joins', 'an', 'event', 'or', 'transaction', 'within', 'an', 'application', 'framework', 'in', 'order', 'to', 'change', 'the', 'content', 'of', 'messages', 'or', 'items', 'that', 'are', 'being', 'exchanged', 'performing', 'this', 'attack', 'allows', 'the', 'attacker', 'to', 'manipulate', 'content', 'in', 'such', 'a', 'way', 'as', 'to', 'produce', 'messages', 'or', 'content', 'that', 'look', 'authentic', 'but', 'may', 'contain', 'deceptive', 'links', 'substitute', 'one', 'item', 'or', 'another', 'spoof', 'an', 'existing', 'item', 'and', 'conduct', 'a', 'false', 'exchange', 'or', 'otherwise', 'change', 'the', 'amounts', 'or', 'identity', 'of', 'what', 'is', 'being', 'exchanged', 'the', 'techniques', 'require', 'use', 'of', 'specialized', 'software', 'that', 'allow', 'the', 'attacker', 'to', 'man', 'in', 'the', 'middle', 'communications', 'between', 'the', 'web', 'browser', 'and', 'the', 'remote', 'system', 'in', 'order', 'to', 'change', 'the', 'content', 'of', 'various', 'application', 'elements', 'often', 'items', 'exchanged', 'in', 'game', 'can', 'be', 'monetized', 'via', 'sales', 'for', 'coin', 'virtual', 'dollars', 'etc', 'the', 'purpose', 'of', 'the', 'attack', 'is', 'for', 'the', 'attack', 'to', 'scam', 'the', 'victim', 'by', 'trapping', 'the', 'data', 'packets', 'involved', 'the', 'exchange', 'and', 'altering', 'the', 'integrity', 'of', 'the', 'transfer', 'process']","['attacker', 'hosts', 'joins', 'event', 'transaction', 'within', 'application', 'framework', 'order', 'change', 'content', 'messages', 'items', 'exchanged', 'performing', 'attack', 'allows', 'attacker', 'manipulate', 'content', 'way', 'produce', 'messages', 'content', 'look', 'authentic', 'may', 'contain', 'deceptive', 'links', 'substitute', 'one', 'item', 'another', 'spoof', 'existing', 'item', 'conduct', 'false', 'exchange', 'otherwise', 'change', 'amounts', 'identity', 'exchanged', 'techniques', 'require', 'use', 'specialized', 'software', 'allow', 'attacker', 'man', 'middle', 'communications', 'web', 'browser', 'remote', 'system', 'order', 'change', 'content', 'various', 'application', 'elements', 'often', 'items', 'exchanged', 'game', 'monetized', 'via', 'sales', 'coin', 'virtual', 'dollars', 'etc', 'purpose', 'attack', 'attack', 'scam', 'victim', 'trapping', 'data', 'packets', 'involved', 'exchange', 'altering', 'integrity', 'transfer', 'process']"
223,"An attacker manipulates either egress or ingress data from a client within an application framework in order to change the destination and/or content of links/buttons displayed to a user within API messages. Performing this attack allows the attacker to manipulate content in such a way as to produce messages or content that looks authentic but contains links/buttons that point to an attacker controlled destination. Some applications make navigation remapping more difficult to detect because the actual HREF values of images, profile elements, and links/buttons are masked. One example would be to place an image in a user's photo gallery that when clicked upon redirected the user to an off-site location. Also, traditional web vulnerabilities (such as CSRF) can be constructed with remapped buttons or links. In some cases navigation remapping can be used for Phishing attacks or even means to artificially boost the page view, user site reputation, or click-fraud.",an attacker manipulates either egress or ingress data from a client within an application framework in order to change the destination and or content of links buttons displayed to a user within api messages performing this attack allows the attacker to manipulate content in such a way as to produce messages or content that looks authentic but contains links buttons that point to an attacker controlled destination some applications make navigation remapping more difficult to detect because the actual href values of images  profile elements  and links buttons are masked one example would be to place an image in a user s photo gallery that when clicked upon redirected the user to an off site location also  traditional web vulnerabilities  such as csrf  can be constructed with remapped buttons or links in some cases navigation remapping can be used for phishing attacks or even means to artificially boost the page view  user site reputation  or click fraud ,"['an', 'attacker', 'manipulates', 'either', 'egress', 'or', 'ingress', 'data', 'from', 'a', 'client', 'within', 'an', 'application', 'framework', 'in', 'order', 'to', 'change', 'the', 'destination', 'and', 'or', 'content', 'of', 'links', 'buttons', 'displayed', 'to', 'a', 'user', 'within', 'api', 'messages', 'performing', 'this', 'attack', 'allows', 'the', 'attacker', 'to', 'manipulate', 'content', 'in', 'such', 'a', 'way', 'as', 'to', 'produce', 'messages', 'or', 'content', 'that', 'looks', 'authentic', 'but', 'contains', 'links', 'buttons', 'that', 'point', 'to', 'an', 'attacker', 'controlled', 'destination', 'some', 'applications', 'make', 'navigation', 'remapping', 'more', 'difficult', 'to', 'detect', 'because', 'the', 'actual', 'href', 'values', 'of', 'images', 'profile', 'elements', 'and', 'links', 'buttons', 'are', 'masked', 'one', 'example', 'would', 'be', 'to', 'place', 'an', 'image', 'in', 'a', 'user', 's', 'photo', 'gallery', 'that', 'when', 'clicked', 'upon', 'redirected', 'the', 'user', 'to', 'an', 'off', 'site', 'location', 'also', 'traditional', 'web', 'vulnerabilities', 'such', 'as', 'csrf', 'can', 'be', 'constructed', 'with', 'remapped', 'buttons', 'or', 'links', 'in', 'some', 'cases', 'navigation', 'remapping', 'can', 'be', 'used', 'for', 'phishing', 'attacks', 'or', 'even', 'means', 'to', 'artificially', 'boost', 'the', 'page', 'view', 'user', 'site', 'reputation', 'or', 'click', 'fraud']","['attacker', 'manipulates', 'either', 'egress', 'ingress', 'data', 'client', 'within', 'application', 'framework', 'order', 'change', 'destination', 'content', 'links', 'buttons', 'displayed', 'user', 'within', 'api', 'messages', 'performing', 'attack', 'allows', 'attacker', 'manipulate', 'content', 'way', 'produce', 'messages', 'content', 'looks', 'authentic', 'contains', 'links', 'buttons', 'point', 'attacker', 'controlled', 'destination', 'applications', 'make', 'navigation', 'remapping', 'difficult', 'detect', 'actual', 'href', 'values', 'images', 'profile', 'elements', 'links', 'buttons', 'masked', 'one', 'example', 'would', 'place', 'image', 'user', 'photo', 'gallery', 'clicked', 'upon', 'redirected', 'user', 'site', 'location', 'also', 'traditional', 'web', 'vulnerabilities', 'csrf', 'constructed', 'remapped', 'buttons', 'links', 'cases', 'navigation', 'remapping', 'used', 'phishing', 'attacks', 'even', 'means', 'artificially', 'boost', 'page', 'view', 'user', 'site', 'reputation', 'click', 'fraud']"
224,An adversary manipulates either egress or ingress data from a client within an application framework in order to change the content of messages and thereby circumvent the expected application logic.,an adversary manipulates either egress or ingress data from a client within an application framework in order to change the content of messages and thereby circumvent the expected application logic ,"['an', 'adversary', 'manipulates', 'either', 'egress', 'or', 'ingress', 'data', 'from', 'a', 'client', 'within', 'an', 'application', 'framework', 'in', 'order', 'to', 'change', 'the', 'content', 'of', 'messages', 'and', 'thereby', 'circumvent', 'the', 'expected', 'application', 'logic']","['adversary', 'manipulates', 'either', 'egress', 'ingress', 'data', 'client', 'within', 'application', 'framework', 'order', 'change', 'content', 'messages', 'thereby', 'circumvent', 'expected', 'application', 'logic']"
225,An attacker manipulates either egress or ingress data from a client within an application framework in order to change the destination and/or content of buttons displayed to a user within API messages. Performing this attack allows the attacker to manipulate content in such a way as to produce messages or content that looks authentic but contains buttons that point to an attacker controlled destination.,an attacker manipulates either egress or ingress data from a client within an application framework in order to change the destination and or content of buttons displayed to a user within api messages performing this attack allows the attacker to manipulate content in such a way as to produce messages or content that looks authentic but contains buttons that point to an attacker controlled destination ,"['an', 'attacker', 'manipulates', 'either', 'egress', 'or', 'ingress', 'data', 'from', 'a', 'client', 'within', 'an', 'application', 'framework', 'in', 'order', 'to', 'change', 'the', 'destination', 'and', 'or', 'content', 'of', 'buttons', 'displayed', 'to', 'a', 'user', 'within', 'api', 'messages', 'performing', 'this', 'attack', 'allows', 'the', 'attacker', 'to', 'manipulate', 'content', 'in', 'such', 'a', 'way', 'as', 'to', 'produce', 'messages', 'or', 'content', 'that', 'looks', 'authentic', 'but', 'contains', 'buttons', 'that', 'point', 'to', 'an', 'attacker', 'controlled', 'destination']","['attacker', 'manipulates', 'either', 'egress', 'ingress', 'data', 'client', 'within', 'application', 'framework', 'order', 'change', 'destination', 'content', 'buttons', 'displayed', 'user', 'within', 'api', 'messages', 'performing', 'attack', 'allows', 'attacker', 'manipulate', 'content', 'way', 'produce', 'messages', 'content', 'looks', 'authentic', 'contains', 'buttons', 'point', 'attacker', 'controlled', 'destination']"
226,"An attacker manipulates either egress or ingress data from a client within an application framework in order to change the content of messages. Performing this attack allows the attacker to manipulate content in such a way as to produce messages or content that look authentic but may contain deceptive links, spam-like content, or links to the attackers' code. In general, content-spoofing within an application API can be employed to stage many different types of attacks varied based on the attackers' intent. The techniques require use of specialized software that allow the attacker to use adversary-in-the-middle (CAPEC-94) communications between the web browser and the remote system.",an attacker manipulates either egress or ingress data from a client within an application framework in order to change the content of messages performing this attack allows the attacker to manipulate content in such a way as to produce messages or content that look authentic but may contain deceptive links  spam like content  or links to the attackers  code in general  content spoofing within an application api can be employed to stage many different types of attacks varied based on the attackers  intent the techniques require use of specialized software that allow the attacker to use adversary in the middle  capec 94  communications between the web browser and the remote system ,"['an', 'attacker', 'manipulates', 'either', 'egress', 'or', 'ingress', 'data', 'from', 'a', 'client', 'within', 'an', 'application', 'framework', 'in', 'order', 'to', 'change', 'the', 'content', 'of', 'messages', 'performing', 'this', 'attack', 'allows', 'the', 'attacker', 'to', 'manipulate', 'content', 'in', 'such', 'a', 'way', 'as', 'to', 'produce', 'messages', 'or', 'content', 'that', 'look', 'authentic', 'but', 'may', 'contain', 'deceptive', 'links', 'spam', 'like', 'content', 'or', 'links', 'to', 'the', 'attackers', 'code', 'in', 'general', 'content', 'spoofing', 'within', 'an', 'application', 'api', 'can', 'be', 'employed', 'to', 'stage', 'many', 'different', 'types', 'of', 'attacks', 'varied', 'based', 'on', 'the', 'attackers', 'intent', 'the', 'techniques', 'require', 'use', 'of', 'specialized', 'software', 'that', 'allow', 'the', 'attacker', 'to', 'use', 'adversary', 'in', 'the', 'middle', 'capec', '94', 'communications', 'between', 'the', 'web', 'browser', 'and', 'the', 'remote', 'system']","['attacker', 'manipulates', 'either', 'egress', 'ingress', 'data', 'client', 'within', 'application', 'framework', 'order', 'change', 'content', 'messages', 'performing', 'attack', 'allows', 'attacker', 'manipulate', 'content', 'way', 'produce', 'messages', 'content', 'look', 'authentic', 'may', 'contain', 'deceptive', 'links', 'spam', 'like', 'content', 'links', 'attackers', 'code', 'general', 'content', 'spoofing', 'within', 'application', 'api', 'employed', 'stage', 'many', 'different', 'types', 'attacks', 'varied', 'based', 'attackers', 'intent', 'techniques', 'require', 'use', 'specialized', 'software', 'allow', 'attacker', 'use', 'adversary', 'middle', 'capec', '94', 'communications', 'web', 'browser', 'remote', 'system']"
227,"In circumstances where an application holds important data client-side in tokens (cookies, URLs, data files, and so forth) that data can be manipulated. If client or server-side application components reinterpret that data as authentication tokens or data (such as store item pricing or wallet information) then even opaquely manipulating that data may bear fruit for an Attacker. In this pattern an attacker undermines the assumption that client side tokens have been adequately protected from tampering through use of encryption or obfuscation.",in circumstances where an application holds important data client side in tokens  cookies  urls  data files  and so forth  that data can be manipulated if client or server side application components reinterpret that data as authentication tokens or data  such as store item pricing or wallet information  then even opaquely manipulating that data may bear fruit for an attacker in this pattern an attacker undermines the assumption that client side tokens have been adequately protected from tampering through use of encryption or obfuscation ,"['in', 'circumstances', 'where', 'an', 'application', 'holds', 'important', 'data', 'client', 'side', 'in', 'tokens', 'cookies', 'urls', 'data', 'files', 'and', 'so', 'forth', 'that', 'data', 'can', 'be', 'manipulated', 'if', 'client', 'or', 'server', 'side', 'application', 'components', 'reinterpret', 'that', 'data', 'as', 'authentication', 'tokens', 'or', 'data', 'such', 'as', 'store', 'item', 'pricing', 'or', 'wallet', 'information', 'then', 'even', 'opaquely', 'manipulating', 'that', 'data', 'may', 'bear', 'fruit', 'for', 'an', 'attacker', 'in', 'this', 'pattern', 'an', 'attacker', 'undermines', 'the', 'assumption', 'that', 'client', 'side', 'tokens', 'have', 'been', 'adequately', 'protected', 'from', 'tampering', 'through', 'use', 'of', 'encryption', 'or', 'obfuscation']","['circumstances', 'application', 'holds', 'important', 'data', 'client', 'side', 'tokens', 'cookies', 'urls', 'data', 'files', 'forth', 'data', 'manipulated', 'client', 'server', 'side', 'application', 'components', 'reinterpret', 'data', 'authentication', 'tokens', 'data', 'store', 'item', 'pricing', 'wallet', 'information', 'even', 'opaquely', 'manipulating', 'data', 'may', 'bear', 'fruit', 'attacker', 'pattern', 'attacker', 'undermines', 'assumption', 'client', 'side', 'tokens', 'adequately', 'protected', 'tampering', 'use', 'encryption', 'obfuscation']"
228,"Facilities often used layered models for physical security such as traditional locks, Electronic-based card entry systems, coupled with physical alarms. Hardware security mechanisms range from the use of computer case and cable locks as well as RFID tags for tracking computer assets. This layered approach makes it difficult for random physical security breaches to go unnoticed, but is less effective at stopping deliberate and carefully planned break-ins. Avoiding detection begins with evading building security and surveillance and methods for bypassing the electronic or physical locks which secure entry points.",facilities often used layered models for physical security such as traditional locks  electronic based card entry systems  coupled with physical alarms hardware security mechanisms range from the use of computer case and cable locks as well as rfid tags for tracking computer assets this layered approach makes it difficult for random physical security breaches to go unnoticed  but is less effective at stopping deliberate and carefully planned break ins avoiding detection begins with evading building security and surveillance and methods for bypassing the electronic or physical locks which secure entry points ,"['facilities', 'often', 'used', 'layered', 'models', 'for', 'physical', 'security', 'such', 'as', 'traditional', 'locks', 'electronic', 'based', 'card', 'entry', 'systems', 'coupled', 'with', 'physical', 'alarms', 'hardware', 'security', 'mechanisms', 'range', 'from', 'the', 'use', 'of', 'computer', 'case', 'and', 'cable', 'locks', 'as', 'well', 'as', 'rfid', 'tags', 'for', 'tracking', 'computer', 'assets', 'this', 'layered', 'approach', 'makes', 'it', 'difficult', 'for', 'random', 'physical', 'security', 'breaches', 'to', 'go', 'unnoticed', 'but', 'is', 'less', 'effective', 'at', 'stopping', 'deliberate', 'and', 'carefully', 'planned', 'break', 'ins', 'avoiding', 'detection', 'begins', 'with', 'evading', 'building', 'security', 'and', 'surveillance', 'and', 'methods', 'for', 'bypassing', 'the', 'electronic', 'or', 'physical', 'locks', 'which', 'secure', 'entry', 'points']","['facilities', 'often', 'used', 'layered', 'models', 'physical', 'security', 'traditional', 'locks', 'electronic', 'based', 'card', 'entry', 'systems', 'coupled', 'physical', 'alarms', 'hardware', 'security', 'mechanisms', 'range', 'use', 'computer', 'case', 'cable', 'locks', 'well', 'rfid', 'tags', 'tracking', 'computer', 'assets', 'layered', 'approach', 'makes', 'difficult', 'random', 'physical', 'security', 'breaches', 'go', 'unnoticed', 'less', 'effective', 'stopping', 'deliberate', 'carefully', 'planned', 'break', 'ins', 'avoiding', 'detection', 'begins', 'evading', 'building', 'security', 'surveillance', 'methods', 'bypassing', 'electronic', 'physical', 'locks', 'secure', 'entry', 'points']"
229,"An attacker uses techniques and methods to bypass physical security measures of a building or facility. Physical locks may range from traditional lock and key mechanisms, cable locks used to secure laptops or servers, locks on server cases, or other such devices. Techniques such as lock bumping, lock forcing via snap guns, or lock picking can be employed to bypass those locks and gain access to the facilities or devices they protect, although stealth, evidence of tampering, and the integrity of the lock following an attack, are considerations that may determine the method employed. Physical locks are limited by the complexity of the locking mechanism. While some locks may offer protections such as shock resistant foam to prevent bumping or lock forcing methods, many commonly employed locks offer no such countermeasures.",an attacker uses techniques and methods to bypass physical security measures of a building or facility physical locks may range from traditional lock and key mechanisms  cable locks used to secure laptops or servers  locks on server cases  or other such devices techniques such as lock bumping  lock forcing via snap guns  or lock picking can be employed to bypass those locks and gain access to the facilities or devices they protect  although stealth  evidence of tampering  and the integrity of the lock following an attack  are considerations that may determine the method employed physical locks are limited by the complexity of the locking mechanism while some locks may offer protections such as shock resistant foam to prevent bumping or lock forcing methods  many commonly employed locks offer no such countermeasures ,"['an', 'attacker', 'uses', 'techniques', 'and', 'methods', 'to', 'bypass', 'physical', 'security', 'measures', 'of', 'a', 'building', 'or', 'facility', 'physical', 'locks', 'may', 'range', 'from', 'traditional', 'lock', 'and', 'key', 'mechanisms', 'cable', 'locks', 'used', 'to', 'secure', 'laptops', 'or', 'servers', 'locks', 'on', 'server', 'cases', 'or', 'other', 'such', 'devices', 'techniques', 'such', 'as', 'lock', 'bumping', 'lock', 'forcing', 'via', 'snap', 'guns', 'or', 'lock', 'picking', 'can', 'be', 'employed', 'to', 'bypass', 'those', 'locks', 'and', 'gain', 'access', 'to', 'the', 'facilities', 'or', 'devices', 'they', 'protect', 'although', 'stealth', 'evidence', 'of', 'tampering', 'and', 'the', 'integrity', 'of', 'the', 'lock', 'following', 'an', 'attack', 'are', 'considerations', 'that', 'may', 'determine', 'the', 'method', 'employed', 'physical', 'locks', 'are', 'limited', 'by', 'the', 'complexity', 'of', 'the', 'locking', 'mechanism', 'while', 'some', 'locks', 'may', 'offer', 'protections', 'such', 'as', 'shock', 'resistant', 'foam', 'to', 'prevent', 'bumping', 'or', 'lock', 'forcing', 'methods', 'many', 'commonly', 'employed', 'locks', 'offer', 'no', 'such', 'countermeasures']","['attacker', 'uses', 'techniques', 'methods', 'bypass', 'physical', 'security', 'measures', 'building', 'facility', 'physical', 'locks', 'may', 'range', 'traditional', 'lock', 'key', 'mechanisms', 'cable', 'locks', 'used', 'secure', 'laptops', 'servers', 'locks', 'server', 'cases', 'devices', 'techniques', 'lock', 'bumping', 'lock', 'forcing', 'via', 'snap', 'guns', 'lock', 'picking', 'employed', 'bypass', 'locks', 'gain', 'access', 'facilities', 'devices', 'protect', 'although', 'stealth', 'evidence', 'tampering', 'integrity', 'lock', 'following', 'attack', 'considerations', 'may', 'determine', 'method', 'employed', 'physical', 'locks', 'limited', 'complexity', 'locking', 'mechanism', 'locks', 'may', 'offer', 'protections', 'shock', 'resistant', 'foam', 'prevent', 'bumping', 'lock', 'forcing', 'methods', 'many', 'commonly', 'employed', 'locks', 'offer', 'countermeasures']"
